Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NORWOOD PARK,92.31183072048472,87.94244041246742,36.20821211709461,34.81730786007295,43.9118872368428,42.02995051994426,25.234591902313625,24.112508033419022,29.85849144040776,28.840402968438585
ROSELAND,92.5943031311035,88.601224899292,35.8178497314453,34.7010513305664,43.6657196044923,41.8598648071289,25.4951171875,24.35546875,29.9862461090088,28.9834432601929
SOUTH DEERING,92.764998994221,88.880749871556,35.64331164758196,34.481805441395224,43.46077295639567,41.69863725350271,25.327295232363436,24.38236213905973,29.95724839733724,28.8985404318097
ASHBURN,92.56640146675856,88.9708658177991,35.809151015748895,34.68202372536096,44.16097076110624,42.22171486829477,25.17578670438679,24.29706590353736,30.008265858082723,29.001008470085612
AUBURN GRESHAM,92.51882961923543,88.48375776019067,35.83992576428872,34.65682595277681,43.93921494261212,42.10021483067494,25.393844663511604,24.352836302439748,30.011444457490263,28.90793843313329
BRIDGEPORT,92.1879776000977,88.3713340759277,35.9099212646485,34.6701675415039,43.6419555664062,41.8571563720703,25.3515625,24.296875,30.0322025299072,28.8682851791382
AVONDALE,92.34170003310405,88.08624369753628,36.05285077925622,34.81671426752379,44.111644549236416,41.974317885943,25.26992276734724,24.23754506353512,29.96084157964425,28.885182752124518
ARCHER HEIGHTS,91.97645683673038,88.64169027450231,36.01449070297196,34.86115151775917,44.12057229583498,42.20366966529499,25.17604370800672,24.35546875,30.056004315554603,29.16024978483906
MOUNT GREENWOOD,92.57092942119402,88.96165644354572,35.78869567742603,34.67168712736432,44.1701577803762,42.22290122584297,25.177050575657898,24.29791118421053,30.00823799438479,28.99117820498816
HYDE PARK,92.94925285311616,89.0367869345925,35.46014513716264,34.09615490167791,43.43880963245741,41.33560610684488,25.092980823863638,24.24463068181819,30.03911406222255,28.828347661105063
LOOP,92.4946495056152,88.9508686065674,35.331396484375,33.7912155151367,43.110580444336,40.9032989501953,25.111328125,24.1796875,29.9934490203857,28.6960611343384
PULLMAN,92.5943031311035,88.601224899292,35.8178497314453,34.7010513305664,43.6657196044923,41.8598648071289,25.4951171875,24.35546875,29.9862461090088,28.9834432601929
KENWOOD,92.92942471641032,89.01496682486294,35.40880635147013,33.992529421734375,43.41181972069901,41.28169854677958,25.07163879848565,24.24643829702444,30.032212380825754,28.81233688723393
WOODLAWN,92.75810344129025,88.86731442556653,35.769980577032975,34.64127779245758,43.621044799934765,41.741670117304594,25.277241775439528,24.27630319326052,30.059955745081208,28.913220390336093
LINCOLN SQUARE,92.3566474914551,88.090934753418,35.8890350341798,34.6791854858399,43.9949920654297,41.5029388427735,25.17578125,24.1796875,29.9555171966553,28.781777381897
NORTH PARK,92.32726618280697,87.99022310835554,36.29619325506628,34.94202324397986,44.02819011762242,41.95343652553666,25.34711629877645,24.23019489914021,29.993132190603426,28.88254627685281
WEST ENGLEWOOD,92.40082534105989,88.34054224368725,35.938724333017696,34.77722792222033,43.96527737323044,42.19235188449026,25.3322176654013,24.34150877847072,30.030183536835704,28.963674367723986
RIVERDALE,92.8660111426999,88.70306600891546,35.47696711066312,34.31478641252583,43.6278694987952,41.909021264613045,25.2698992346424,24.411773238214405,29.886995152469492,28.863033766126023
WEST LAWN,92.55885894043529,89.02536155009477,35.944285809444686,34.750328416537606,44.09581596104418,42.20653725440025,25.169941948991237,24.296875,30.007004912179976,29.07332610757257
IRVING PARK,92.34618823040448,88.10949968816351,36.16450845692367,34.89640762152979,44.14110159618788,42.14296130473569,25.30563434548793,24.266256230325286,29.95687518725242,28.936993819093644
AUSTIN,92.31168452754164,87.97909740155394,35.88224917662264,34.75331404016477,44.28277830306933,42.395613091401394,25.338591604521778,24.231169729521785,29.98902570189848,28.874961955378723
BURNSIDE,92.5943031311035,88.601224899292,35.8178497314453,34.7010513305664,43.6657196044923,41.8598648071289,25.4951171875,24.35546875,29.9862461090088,28.9834432601929
EAST SIDE,92.82750816114373,89.16160239899214,35.3936485440576,34.218168439879555,43.26981148539444,41.410457593193605,25.16571571246218,24.332443445064296,29.956800625147515,28.80864542371028
WEST RIDGE,92.2993119549278,88.16918544715153,35.93794768449829,34.621135941923214,43.78672256974985,41.30941654374951,25.195537931646165,24.13578376300851,29.90631128309355,28.761260745428395
MONTCLARE,92.6798789978027,88.4590435028076,36.1219177246094,34.8432403564453,44.1160858154297,42.1996856689453,25.287109375,24.1796875,29.8683441162109,28.8158445358276
LOWER WEST SIDE,92.09047069702854,88.16038591579782,35.951690374842315,34.712835434082585,43.71603281201413,41.91897768005301,25.3515625,24.296875,30.045276645641408,28.88951054597513
WEST ELSDON,92.12582236793972,88.74063366062038,35.99641829727894,34.83274091478596,44.1141221815294,42.20428697889027,25.174276894980014,24.3404251998002,30.04344235705089,29.13811950321556
NORTH CENTER,92.3558860209326,88.09216854208518,35.88601729793957,34.676167160017485,43.99554411200347,41.51343065883672,25.17792304130077,24.18052363474204,29.95639980161232,28.782847299795662
WEST TOWN,92.37352951871571,88.41315660651777,35.59958509540908,34.28314097485021,43.7296976981753,41.69032593894033,25.232732653763765,24.21003863219094,29.999792920769742,28.79296048303273
SOUTH SHORE,92.90535199569938,89.03709952325534,35.70149287137121,34.5436933633053,43.55882306648025,41.58931386254058,25.210935280539776,24.246981534090917,30.057654628175676,28.890142402143237
GRAND BOULEVARD,92.1879776000977,88.3713340759277,35.9099212646485,34.6701675415039,43.6419555664062,41.8571563720703,25.3515625,24.296875,30.0322025299072,28.8682851791382
CHATHAM,92.5943031311035,88.601224899292,35.8178497314453,34.7010513305664,43.6657196044923,41.8598648071289,25.4951171875,24.35546875,29.9862461090088,28.9834432601929
WEST PULLMAN,92.83027937719724,88.68967309265136,35.52179588769532,34.36558332275396,43.63284708886725,41.90255679931647,25.2995171875,24.40436875,29.9000474429932,28.87886857269286
HEGEWISCH,92.86000625262432,89.26582831383786,35.57602304663645,34.436749854072325,43.344007081271,41.5371953129639,25.30760255496743,24.437258245114,30.012787386617767,28.884162249031856
NEAR WEST SIDE,92.40668683874516,88.62761708503946,35.50919706578507,34.10268954641204,43.46363547966945,41.369683901785855,25.18922334558824,24.20314836739781,30.00009529128979,28.758084475174027
UPTOWN,92.36698486714424,88.12096900345641,35.85844520635717,34.63127126870166,43.93901516358136,41.458102629456405,25.169277172590068,24.182939538704964,29.95629522997777,28.76912020801224
ENGLEWOOD,92.3878905135022,88.34547365596106,35.91504078533956,34.77727289284727,43.86500229198781,42.124565541072144,25.376816927856083,24.34736212212537,30.03903417771222,28.950275294858525
PORTAGE PARK,92.35867970959896,88.13252495787609,36.25522199521118,34.96699923592054,44.18909912372465,42.36119176930396,25.34846949084052,24.29125134698276,29.953083976000222,28.983444520796823
EDGEWATER,92.3566474914551,88.090934753418,35.8890350341798,34.6791854858399,43.9949920654297,41.5029388427735,25.17578125,24.1796875,29.9555171966553,28.781777381897
WASHINGTON PARK,92.26937475599738,88.42349553916718,35.89473844066817,34.71063095242256,43.67665961351082,41.9203290006498,25.37975108327053,24.31700970233609,30.03851428718248,28.90101324640546
CHICAGO LAWN,92.5588287353516,89.0255699157715,35.9448181152344,34.7505966186524,44.095556640625,42.2064758300781,25.169921875,24.296875,30.0069999694824,29.0736093521118
EAST GARFIELD PARK,92.2608238220215,87.9127998352051,35.8491424560547,34.7408920288086,44.3058044433594,42.4226776123047,25.345703125,24.23828125,30.005696105957,28.8831281661987
SOUTH LAWNDALE,92.03276791436603,88.01068552780531,36.13317837860495,34.84844595347419,44.02196398934792,42.19269795000496,25.37044558904868,24.32929745114307,30.05117005739241,28.990321533518188
AVALON PARK,92.61190684281958,88.62768317332342,35.80908630534434,34.68946089867924,43.65902521846349,41.84297767659578,25.47880136318019,24.349666871097234,29.98997864804026,28.977942744926327
