Community,WRF_RH2_max,WRF_RH2_min,WRF_T2_max,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
NORWOOD PARK,79.18623290858721,47.33931550955098,27.842392760132174,20.3659059813826,35.967986511387345,18.33324046784628,19.64165796608424,17.893333925379583,24.550250902151426,18.73524802141753
ROSELAND,79.5333323187124,49.03918842269024,27.719557564592776,20.482922010161595,35.729926162963764,18.5803602877139,19.914960639609102,18.03730792855726,24.70825571309594,18.900339869430123
SOUTH DEERING,79.52790249558393,50.23157229026364,27.460103744368457,20.517916520499583,35.568574376793705,18.551609803677668,19.943030103756847,18.07918950652201,24.60757828911988,18.934735619759604
ASHBURN,79.15134961166189,47.44100644451421,28.07035186391172,20.492780896089812,36.23974734797492,18.549640349951204,19.75581370516377,17.99083885759261,24.796565972235587,18.864635238931548
AUBURN GRESHAM,79.74452340904355,49.67337242473773,27.53987522278468,20.47452142517403,35.72075896463163,18.563112256527685,19.91825100127797,18.03484559562797,24.597544235688066,18.9106779833416
BRIDGEPORT,79.7721192590121,50.42786843612275,27.20753200794093,20.50127731191705,35.6160450442084,18.451700421037387,19.74106628935915,18.085698906717628,24.4148151853989,18.93583429476307
AVONDALE,80.03030461300993,51.32814326523239,26.89279561372297,20.401625982139727,35.44462162455722,18.379637396097326,19.67962499539012,18.036376337675595,24.198728072309684,18.853137072394905
ARCHER HEIGHTS,79.0700302124023,47.8390312194824,27.8660522460938,20.5287414550781,36.0408874511719,18.56240234375,19.7281551361084,18.0423107147217,24.6695613861084,18.8858070373535
MOUNT GREENWOOD,79.39159557141757,47.16274610981195,28.23903681383633,20.429570826480244,36.4002663959704,18.529241596422725,19.835178779200465,17.952213635896403,24.985196338854305,18.8345818561755
HYDE PARK,80.0074234008789,51.448802947998,27.0303894042969,20.4902282714844,35.5640502929688,18.4934936523438,19.8634929656982,18.0977191925049,24.4697647094727,18.945686340332
LOOP,81.7645797729492,76.097526550293,22.1011291503906,20.0512023925781,19.2289367675781,19.1739440917969,18.9791736602783,17.91015625,21.953275680542,18.554723739624
PULLMAN,79.49566754686074,49.264758704570994,27.672603039031344,20.49175121226209,35.6815681295192,18.57653935209236,19.915022126664507,18.046764624372457,24.69986945111704,18.90561748464056
