Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NORWOOD PARK,93.28228512094688,90.64778088469124,36.0655280011724,34.50337146278516,43.545929907477614,40.81473142726867,25.85218508997429,24.70880563142673,29.908327611418148,28.643174182725144
ROSELAND,93.09221762713688,90.92285986117118,35.40400011380214,34.273320450876994,43.16192094689814,40.60117761821872,25.61641947906868,24.759782161335853,29.90837283560609,28.718523952272417
SOUTH DEERING,93.39426494937588,91.1416584278537,35.34193161489521,34.140942211662114,42.99417274687447,40.49822713692268,25.426470636140923,24.72469763515713,29.860888228967674,28.601145971781936
ASHBURN,92.759335636621,90.37126601860363,35.4166859826294,34.21968138696764,43.597503569072366,41.15968052768864,25.622749701826866,24.76458866651153,29.92348141970953,28.771387057829244
AUBURN GRESHAM,93.65764211139944,91.08870200123398,35.59200658460557,34.30124598522693,43.40085686930795,40.611626570751845,25.534526322151148,24.65357251608524,29.9326256495223,28.669365864997467
BRIDGEPORT,96.25717477305176,93.20926707777484,35.45857758357616,33.68433157822181,43.10398322138296,39.29332443434618,25.337265119881465,24.361328125,29.741492459691763,28.24425218639699
AVONDALE,94.83565315146367,91.76262588544556,35.78483245867043,34.07103128917964,43.35199496771939,40.0892271206353,25.525197895644805,24.400576902484303,29.792037895677588,28.53036822597345
ARCHER HEIGHTS,92.86507326320466,89.92933100308444,35.56582412634286,34.238385990565696,43.34737845802098,41.06416651948975,25.644859322508392,24.7392578125,29.821906534688285,28.745883672528382
MOUNT GREENWOOD,92.7900012377287,90.131483086837,35.274880297851574,34.05289987343241,43.38166948370689,41.10001218454465,25.67312026575992,24.768879111842107,29.89225981027705,28.78621030426025
HYDE PARK,95.11885533225325,92.5651879633123,35.47033678533377,33.885307445179336,43.0823512451172,39.81621858908917,25.31541164772728,24.37949857954546,29.82592959677954,28.320630430048155
LOOP,99.4542289733887,96.8801651000977,29.0620758056641,27.339860534668,23.8243041992188,23.5067687988281,22.36328125,21.71875,26.1146770477295,25.5607881546021
