Community,WRF_RH2_max,WRF_RH2_min,WRF_T2_max,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
NORWOOD PARK,72.09219794775954,41.48363179106335,30.660727956423745,21.47964155888496,37.2089587684769,19.34301344373843,20.48195538606617,18.018991666465308,25.504307097211893,19.11894752482828
ROSELAND,73.58424450649144,42.57652398985956,30.55846442781524,21.452575666368386,36.969441178645766,19.530133004964625,20.748805093630683,18.14841312612999,25.57984513599472,19.22965243528838
SOUTH DEERING,73.69593885476031,43.05914144397688,30.426668246128152,21.44577328393547,36.77359167023644,19.539776653320423,20.723600875693823,18.1433424142905,25.55334899041023,19.237182503856022
ASHBURN,73.07950791786627,41.8094062103847,30.5761726533865,21.459662115227093,37.39146480227396,19.537128313369507,20.726411063975743,18.107694808288823,25.648270094092293,19.191828457621757
AUBURN GRESHAM,73.31480328719623,41.99186469330319,30.53529122104891,21.476795298001168,37.18884749317483,19.50711157451749,20.67603609867656,18.17103805587392,25.5803654933749,19.233332928217973
BRIDGEPORT,73.10463276402699,41.93522927267797,30.3955142382918,21.448984356584237,36.87406396536993,19.463930472012237,20.608343950633312,18.159780358446053,25.601268982065125,19.19179333078448
AVONDALE,72.42709071291712,41.646436781695314,30.409051339385336,21.46839175047292,36.84897038466856,19.36983325376569,20.45292099648243,18.066829074661413,25.61084905806298,19.143301931672077
ARCHER HEIGHTS,72.99361082207317,41.67037105667097,30.581835752959265,21.492203575552963,37.12246309047581,19.52080247629134,20.65030795115502,18.133067371329965,25.71040072339644,19.21652187078293
MOUNT GREENWOOD,73.32440630461042,42.44660782663446,30.47229408665708,21.385633866159555,37.40784745065794,19.53066945929278,20.82265416998615,18.06887389735173,25.694313097502093,19.149869473105984
HYDE PARK,73.56286937366832,42.35884546453301,30.226658269708857,21.39974065607242,36.82426458185368,19.48929398970176,20.604867089011453,18.1649076981978,25.53390973871402,19.18778251647945
LOOP,73.9691162109375,42.6004409790039,29.6309753417969,21.2880187988281,36.4746032714844,19.5284057617188,20.4414691925049,18.1244697570801,25.4327411651611,19.1162948608398
PULLMAN,73.61868294249193,42.65336852378036,30.561825107006342,21.449264591298185,36.94111412535328,19.533382074883693,20.75876893388464,18.145016406444796,25.58026851491726,19.228924649827025
KENWOOD,73.6302261352539,42.4606895446777,30.1392456054688,21.3776184082031,36.7224670410156,19.4845825195313,20.5850887298584,18.1623649597168,25.5217189788818,19.174295425415
WOODLAWN,73.32878757450382,42.0037969549603,30.53223603481809,21.477056741689047,37.18115033742655,19.507044757727225,20.67375603087987,18.173892255406084,25.57665878543844,19.23488102253914
LINCOLN SQUARE,72.84260939533596,41.82056016175345,30.383639018645937,21.382751850386104,36.98028552778253,19.36395113527562,20.398753616733515,18.044573217948567,25.405609807934223,19.093940183361227
NORTH PARK,72.7861938476562,41.7584762573242,30.4368835449219,21.3711181640625,37.0867553710938,19.28212890625,20.3978424072266,18.0257511138916,25.3373184204102,19.0861644744873
WEST ENGLEWOOD,73.31476977797236,42.00639354156917,30.497983719280324,21.46874387441815,37.124967306692895,19.505559548069808,20.6616479883311,18.16722043079479,25.588543597460657,19.22620220970433
RIVERDALE,73.69353536840485,42.82957322512053,30.555713160622336,21.435587676124936,36.90664302935557,19.530611619958638,20.778846185824005,18.13771044318816,25.57687813965476,19.222408087129637
WEST LAWN,72.99463948343114,41.67109726933776,30.5817291596656,21.492023220868223,37.12342755593948,19.52090170184701,20.650668571509875,18.132967714760568,25.71010935710414,19.21644760367081
IRVING PARK,72.41742948870342,41.64204758186776,30.406487812950896,21.468794492259203,36.81591554783821,19.367627567959712,20.45202646725828,18.064572159165763,25.60436772749777,19.14267108673064
AUSTIN,72.43073321472512,41.46711829696037,30.51987177819916,21.462011153288596,37.15588483328775,19.38964681336376,20.476823526500468,18.06767716732893,25.658952444791787,19.13757567785007
BURNSIDE,73.3265686035156,42.0015563964844,30.5333190917969,21.4773498535156,37.1813903808594,19.5058227539063,20.6742534637451,18.173828125,25.5766773223877,19.2350978851318
EAST SIDE,73.97725383741233,43.27894368799301,30.094064100210687,21.39613656463858,36.686874934440304,19.68371128653613,20.571680640308653,18.160460432430657,25.546695125625988,19.200401666846115
WEST RIDGE,73.35208097161343,41.89373961430321,30.131109692282745,21.27269149679223,36.91317327301499,19.299898586555894,20.348831143073983,18.01571515184665,25.2679201268654,19.045386005523127
