Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NORWOOD PARK,99.01994888835208,96.93045924512774,33.19867427718056,31.22991764882535,36.73216766985032,35.03798747320103,25.515337303181237,24.49097244537275,29.931186899513666,28.488846758766464
ROSELAND,97.49107788136185,95.0289740504124,33.55390459206017,31.759161916680792,37.46078270582914,35.87422537314702,25.436290550770227,24.47249088664159,29.8244166723199,28.582236933685813
SOUTH DEERING,95.08596297031173,91.81709441832474,34.24070690214283,32.40548827546013,43.21116502185839,40.535748941418895,24.961409849629927,24.197760981314488,29.67623210570172,28.272170279677933
ASHBURN,98.14233852774424,95.48945866603204,33.59251203530338,31.748724679145717,38.37596364952345,36.55133305461514,25.376872218262744,24.455191985324067,29.848628879286977,28.499072768895203
AUBURN GRESHAM,97.14865991557792,94.58228853719996,33.64465379700786,31.827099560797503,38.36410137200348,36.654789224503766,25.368772779678665,24.43674338924427,29.79645563401977,28.551942325922347
BRIDGEPORT,96.02175476633272,93.62370615169915,34.459532323376884,32.39181999995791,43.12597757536797,40.27033486530698,24.770549905711206,24.0625,29.6180381067868,28.01291263925617
AVONDALE,95.44522985940932,92.98772618976209,34.309373722479435,32.436629918750434,43.54873626203555,40.604297070200985,24.93886473354512,24.061395720302688,29.610213596598904,28.087112164783303
ARCHER HEIGHTS,97.5293495178223,94.8085155487061,33.7592407226563,32.0217910766602,39.1526611328125,37.22548828125,25.2900390625,24.4140625,29.7543067932129,28.4754266738892
MOUNT GREENWOOD,98.4347734198319,95.83264981079108,33.54533375179903,31.71535311407796,37.93525877364317,36.15979196006376,25.41038939144737,24.473174342105278,29.8714910030967,28.51175942149919
HYDE PARK,95.01043600463866,92.80197483409538,34.21013140314277,32.35770685369324,42.88948200017758,40.241384721235846,24.851171875,24.076429332386365,29.586218110518068,28.07672368829902
LOOP,96.1137718200684,93.6842231750488,34.4787353515625,32.3911376953125,43.1568634033204,40.2844253540039,24.765625,24.0625,29.6239601135254,28.0119400024414
PULLMAN,95.6361662499448,92.39865714945692,34.07412725732687,32.246804728406545,41.93643722047198,39.591925000129855,25.091538709275262,24.275619182180847,29.710942161032516,28.393212513720744
KENWOOD,95.0190048217773,92.964225769043,34.2502685546875,32.3992553710938,42.7894012451172,40.1167846679688,24.82421875,24.0625,29.5535034179688,28.0235118865967
WOODLAWN,94.90734861858608,92.20113857921667,34.088927482885445,32.22429355952613,43.221056094853004,40.72955955704544,24.958516124467238,24.13772835017648,29.68394727651023,28.275369441947426
LINCOLN SQUARE,95.90267512195902,93.46290582694192,34.19185851154805,32.24773496783929,43.54671712990763,40.90308003272875,24.95755341553603,24.041465677824736,29.71203791967915,28.198486988230528
NORTH PARK,95.9973442077637,93.561695098877,34.1083404541016,32.1972290039063,43.5973693847657,41.1929641723633,24.994140625,24.0625,29.7507926940918,28.3127202987671
WEST ENGLEWOOD,95.03651307299788,92.04837163703134,34.161305267709146,32.2363272870354,43.21721310784488,40.83223941772643,24.98023573074837,24.218516980748376,29.62362235573352,28.356320833521984
RIVERDALE,95.19518269682688,91.95462142000828,34.13574689668657,32.35732348709676,43.02595430545976,40.58480347783327,25.051786507103657,24.28032515085164,29.68936327145032,28.381471194488068
WEST LAWN,98.3495857250386,95.56138722362016,33.45533412066441,31.523167727862106,37.84976202097504,36.03977705915938,25.43351345403501,24.523750133826603,29.82780560383469,28.448213476348744
IRVING PARK,95.38791759126708,92.90103553900065,34.25873870369267,32.453554956810464,43.63043307997874,40.816308729846256,24.967217012067163,24.09047498032529,29.60582548703877,28.166025154738204
AUSTIN,96.87243423004342,94.25949425408338,33.90819001920297,32.14398260453738,41.25113558383906,38.94226247036099,25.127548680160988,24.25455497972892,29.697858544612185,28.34827491475476
BURNSIDE,95.01895471924507,92.2590266605996,34.05985156863762,32.20526544155362,43.21484478998454,40.63449304676591,24.944172267807264,24.12305778631285,29.70740549524407,28.261160200534544
EAST SIDE,95.0540596008301,92.4661693572998,34.2108947753907,32.3732391357422,43.0981323242188,40.1824050903321,24.8828125,24.12109375,29.6839729309082,28.1019439697266
WEST RIDGE,96.15935316732424,93.70368210579912,34.11292885810715,32.2294439695341,43.55565650384163,41.0978307376935,24.98420685016556,24.061613055818352,29.717324185980416,28.28738833060217
MONTCLARE,98.54048426558327,95.90181616540572,33.55827508055792,31.734010235191644,38.681298243293405,36.70313452743908,25.32624673344948,24.401404616724733,29.80112512967314,28.45863081769247
LOWER WEST SIDE,95.60672289457446,93.26014313039036,34.40143291299663,32.41384485232344,43.21108772636971,40.4071661218117,24.804866891504016,24.10174189150402,29.643022449929912,28.083687388481763
WEST ELSDON,97.73986656958763,95.00157346353906,33.68113492342623,31.893603575074867,38.81807612248591,36.92096020587081,25.326895760489517,24.442269156624626,29.773139339679496,28.46838455886158
NORTH CENTER,95.5585357666016,93.1591129302979,34.4094787597656,32.4031692504883,43.3872222900391,40.1851516723633,24.8828125,24.00390625,29.6188888549805,27.9311017990112
WEST TOWN,95.55136859142068,93.17495681221077,34.40285090508336,32.40810527451328,43.32650242631559,40.27091955514112,24.85667839657282,24.04098454712361,29.62848840309621,27.989438982138257
SOUTH SHORE,95.00724995641998,92.253412326177,34.06931937940194,32.21516866972959,43.24052401918357,40.63984591744165,24.93878728693182,24.12109375,29.70572984955531,28.252319724631985
GRAND BOULEVARD,95.0190048217773,92.964225769043,34.2502685546875,32.3992553710938,42.7894012451172,40.1167846679688,24.82421875,24.0625,29.5535034179688,28.0235118865967
CHATHAM,97.15614129143792,94.65368662653744,33.62245301942575,31.81960243018901,38.24037409601984,36.51917213233742,25.369615709459456,24.425147804054056,29.80856336645176,28.538735724784267
WEST PULLMAN,96.26351574462892,93.55481142822264,33.79449939160162,32.044058115234435,40.86537120898441,38.745972019043,25.2422621875,24.408538281250003,29.780456913940448,28.47398321746827
HEGEWISCH,95.1858463066176,91.86109099662526,34.22076721058873,32.4019322216187,43.017356257899465,40.396843695459374,24.999597923452768,24.233051710097715,29.681572851373648,28.319122742105115
NEAR WEST SIDE,95.68985817708624,93.32967491035804,34.41410735079918,32.410121807429306,43.20219715548187,40.38704165670714,24.798432826520443,24.095307826520443,29.63989700652072,28.071923752059245
UPTOWN,96.1346379979328,93.67697291016698,33.99398236446509,31.991353974904168,42.44998255119585,39.3845753611237,24.7529021117332,23.9032642100779,29.445233446992276,27.79450982176453
ENGLEWOOD,94.93867296847108,92.13265703552202,34.16142061839121,32.25288585300616,43.17135783571873,40.79381899791235,24.973876228672104,24.19366762970605,29.62239360568788,28.31923263929008
PORTAGE PARK,95.53314326604207,93.00838386656228,34.16024395120553,32.414717367325736,43.397389362379066,40.75706595059102,25.025329168911643,24.140776535560352,29.616160501721247,28.2632392853156
EDGEWATER,96.6434509277344,93.7818031311035,34.2441162109375,32.0837112426758,43.7408508300781,40.4145980834961,24.765625,23.88671875,29.6234931945801,27.8785543441772
WASHINGTON PARK,94.91072600306468,92.67172595946164,34.21359508201066,32.35095305913542,42.91903621900684,40.3762286970287,24.88260938677468,24.10025256688018,29.58201486433733,28.121515846108714
CHICAGO LAWN,95.16611590999187,92.06431846350615,34.12455224835506,32.188608039068875,43.07725310470307,40.746603967160446,25.015371736266363,24.248407900580887,29.638721192785468,28.400700442747564
EAST GARFIELD PARK,94.79750685544822,92.42027538803308,34.23645228840299,32.43803078128273,43.394794423723056,40.71636129737668,24.918875436300176,24.17517963296249,29.68024884279969,28.235181060622345
SOUTH LAWNDALE,96.22074743081458,93.74068566268876,33.977498450415254,32.217050094004385,41.01349227890272,38.75550057890378,25.10814853544432,24.30937730457228,29.721512758579447,28.36410707123981
AVALON PARK,95.00536578992556,92.24484849975752,34.06362073287487,32.2088060690398,43.24625552310997,40.65825867597598,24.94104036574487,24.12109375,29.70660560192755,28.25837260032737
NEAR NORTH SIDE,96.9452078427504,94.55922410140842,32.45461738698807,30.66343500977064,37.30496609901646,35.121542101171705,24.22480756444353,23.595416229797465,28.54721753078282,27.21234972270146
JEFFERSON PARK,96.29580488830928,93.88605000889908,34.01208238049369,32.1038735783699,42.8419736516062,40.50012488125837,25.053417308910475,24.11241214708012,29.763535539708084,28.33017396190454
CLEARING,97.98193230751666,94.90807053296038,33.69425484251953,31.82417860191909,39.67940046417053,37.79069360227,25.31655182453416,24.52224907456189,29.80248322744973,28.49599730450176
FULLER PARK,95.0190048217773,92.964225769043,34.2502685546875,32.3992553710938,42.7894012451172,40.1167846679688,24.82421875,24.0625,29.5535034179688,28.0235118865967
LOGAN SQUARE,95.49154166938358,93.05777752562342,34.35028990751465,32.422953455196435,43.48272024782553,40.432978711809454,24.91595436238354,24.03789790372671,29.61375945689517,28.02334565346284
HERMOSA,95.327571105957,92.8097553253174,34.2054229736328,32.4713760375977,43.716455078125,41.0395446777344,24.9970703125,24.12109375,29.6012050628662,28.2491159439087
