Community,WRF_RH2_max,WRF_RH2_min,WRF_T2_max,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
NORWOOD PARK,90.0866232550849,57.25050760185811,26.66141078135044,17.591827926047362,31.9202305497118,15.825956400501063,20.233865680057125,16.443597296393616,24.681838826471232,16.608336625675328
ROSELAND,83.62921733802374,52.76066464830544,27.292275283253694,19.27010932986964,35.8746953381084,18.786063642672293,20.003975979472145,17.3750539368767,24.600283380510213,17.85890591738929
SOUTH DEERING,82.36828780534627,53.51977202607236,27.017948918187027,19.608607280424643,36.55022534016809,19.556523563222367,19.86941499947684,17.57637098426305,24.457700039439978,18.15728112523672
ASHBURN,88.12142088536976,55.11521048009852,27.180655736037693,18.30224687923855,32.82975492843614,16.907969151692917,20.36045665487958,16.96590162849382,24.866222247096417,17.19035009109398
AUBURN GRESHAM,86.63007050332341,56.34603208787591,26.740821253178712,18.74052729108656,32.93349428684791,17.352756460973534,20.160379069293374,17.193650488270382,24.541802596137885,17.480824025320693
BRIDGEPORT,81.99231119813588,54.19593867762333,26.65356851117362,19.798223508637577,36.85159158377813,19.539032094232,19.624529733740022,17.688756749547764,24.15284741335899,18.271733481308477
AVONDALE,82.3858350953125,54.00106435500167,26.579672417240403,19.66902197767572,36.7837444555957,19.38809622040756,19.577481472989216,17.611856528107342,24.13888261251487,18.140815488683547
ARCHER HEIGHTS,85.26952256120464,51.87886978183585,27.440176744023205,19.030107603681877,35.7881091212906,18.358987819761364,19.97567259050563,17.311674835700646,24.630401850547614,17.729975261453255
MOUNT GREENWOOD,88.19100939298927,55.0354301516884,27.29986506733141,18.215000899465466,33.089105558696566,16.82708579615541,20.47444093162136,16.883988486842107,25.02014754686859,17.10903248917432
HYDE PARK,83.27764061945138,71.48365553422407,23.72836365855823,20.23491610440344,25.811090354225875,20.76460555752839,19.724247988614184,18.25151039539685,23.27801569158381,18.760029776833264
LOOP,81.8557510375977,58.2924537658691,25.9035888671875,20.0225463867188,36.2383666992188,19.5948425292969,19.5969562530518,17.8687591552734,23.8831596374512,18.4441871643066
PULLMAN,82.2408811772123,52.62945545683517,27.170404945535907,19.59460975159995,37.13156918464826,19.494823553207063,19.86304612464096,17.544740116849866,24.49674220693873,18.125238212625995
KENWOOD,83.5038318127299,74.92960196321751,23.12900856334267,20.34804752362018,23.3973957446886,21.03185353456468,19.716342859136457,18.379973193664227,23.070078317721254,18.880507253308345
WOODLAWN,82.01048293034953,55.25569096739523,26.521352575482,19.7709917136565,36.73845844705753,19.560823298897844,19.726080070865496,17.683782880332945,24.171868986313697,18.240421935352263
LINCOLN SQUARE,83.19279243089127,54.53327469469389,26.392094329073775,19.544979060162845,36.389445625929696,19.343062151708672,19.53170275094249,17.565264230096883,24.07121147464604,18.083152468942632
NORTH PARK,83.61213523286149,52.31113141344128,26.76786325713737,19.37485467012595,37.40888102967068,19.15775175817855,19.5370407037214,17.446841905146446,24.213276572959145,17.947058338757284
WEST ENGLEWOOD,82.58286648389661,51.97886934783778,27.21372318116119,19.54880124614105,36.66039753084329,19.26066548312309,19.788615745991265,17.526201204036532,24.432060977469668,18.058642184656804
RIVERDALE,83.64522418476975,52.0732083085048,27.428172692953893,19.264949825435945,36.61973921689909,18.995639795852085,20.01494768553485,17.395667264259053,24.69491013073327,17.9189866835508
WEST LAWN,88.1239166259766,55.1078948974609,27.18251953125,18.3012634277344,32.8318420410156,16.9076782226563,20.3609027862549,16.96533203125,24.867280960083,17.1897239685059
IRVING PARK,82.64633262770374,52.90389541513896,26.78954957719869,19.57982006733465,37.0014894179257,19.337044375440676,19.590849823366305,17.555530081765955,24.219419595452173,18.06807398120608
AUSTIN,85.99925919133005,54.04657030105591,26.984186430109872,18.80957026818787,34.657295274252846,17.88167616237296,19.9448970158895,17.20945659610962,24.541752384166514,17.560947359210296
BURNSIDE,82.12025293957586,56.09269126167515,26.38544386538714,19.75472412109381,36.72367632136001,19.55040706016496,19.737891618099944,17.68038898872932,24.17671186564358,18.230568496874557
EAST SIDE,82.65028302860694,60.49668829451892,25.784705552463286,19.824302086996084,32.70930282662029,20.023866214261652,19.856228316966455,17.810882815073914,24.026803814517216,18.35402241849681
WEST RIDGE,83.65709523153171,52.78419561515432,26.6510693240038,19.387526198344737,37.34087796772143,19.174001575711795,19.507878729087363,17.458003423372606,24.1723781183893,17.953325535062323
MONTCLARE,90.11548300819528,57.51630581048308,26.68354383727819,17.51735457044862,31.399148400070757,15.63632453094377,20.30775594545159,16.374049090342268,24.751702179061432,16.536537276743157
LOWER WEST SIDE,82.13388707087586,53.72466410342366,26.7452721742848,19.76449876238554,36.95060262698304,19.516307988770887,19.62640175525589,17.673066327182266,24.196817000980683,18.255024114697044
WEST ELSDON,86.00090676230508,52.70559102457598,27.37441259911963,18.843281956081057,35.0307188478026,17.987110753016548,20.07451344012738,17.22284668761418,24.691254228025965,17.591464638114562
NORTH CENTER,82.1309115245497,58.36433973846266,25.773503955292544,19.886029535119825,34.86998482629842,19.62703338187561,19.544322624164668,17.782998136317335,23.83757763767348,18.33801595099544
WEST TOWN,82.72615938221662,61.17763048823343,25.387480404502444,19.916004284563407,32.569671869919986,19.874120884572,19.569616510585004,17.86946833224163,23.728995857098678,18.42275050010352
SOUTH SHORE,82.71159402673892,63.6426474657926,25.12940930453213,19.95031724409627,31.41519532637164,20.1922806479714,19.772587962584065,17.93544946583836,23.76398005919025,18.455047533728845
GRAND BOULEVARD,81.3278427124023,56.4078063964844,26.2231689453125,19.9565063476563,36.3868957519531,19.6456848144531,19.615743637085,17.7623977661133,23.9464817047119,18.3501567840576
CHATHAM,86.64613569104993,57.181952605376345,26.579888091216244,18.759610232791434,32.80717888909421,17.34396989152238,20.157916713405267,17.21357206396158,24.49264603692129,17.49722826158679
WEST PULLMAN,85.6426394897461,52.67346973876956,27.50229282226564,18.816144775390644,35.27725419921879,18.129365576171868,20.20445759582517,17.183510479736334,24.82570442810058,17.580989761352544
HEGEWISCH,83.46159335125022,53.84146822536939,27.071888717999325,19.32920005375869,36.11552864265236,18.91527812017552,20.007353850374045,17.42269960749292,24.569197547655804,17.934385118267
NEAR WEST SIDE,82.12340615330523,53.95345047240479,26.70326354919614,19.777206527390536,36.91570915914368,19.519794650472456,19.624891284931184,17.68300550618652,24.18146168108829,18.264584503478044
UPTOWN,84.61582492876659,79.01670412474044,22.23591718070117,20.272873581512098,20.997768431072,20.95570091537284,19.488955268377,18.37750714941871,22.63335042060176,18.89210729961153
ENGLEWOOD,81.83091240042395,52.46376302051261,27.03196842861461,19.74847645066257,36.981896044451,19.561220115865414,19.70673978222585,17.633999527385075,24.28584452481936,18.20514362785161
PORTAGE PARK,89.58293803423302,57.06072601669138,26.65012449067217,17.703880152209052,32.13636955173537,15.990298602224748,20.19069023351557,16.49187013911104,24.641015120758397,16.683769147149476
EDGEWATER,84.7075881958008,79.521842956543,22.06826171875,20.2685180664063,20.917626953125,20.8751770019531,19.43359375,18.377950668335,22.5763263702393,18.9024410247803
WASHINGTON PARK,81.50292024130916,55.3935889306604,26.42785077874789,19.8991539064708,36.51737281782067,19.611676043788563,19.64704025285807,17.734822006628068,24.02326950814907,18.3153739546867
CHICAGO LAWN,88.1239166259766,55.1078948974609,27.18251953125,18.3012634277344,32.8318420410156,16.9076782226563,20.3609027862549,16.96533203125,24.867280960083,17.1897239685059
EAST GARFIELD PARK,83.6477666503125,53.97986827581826,26.82172962008969,19.42551737147895,36.00396776804058,18.88658146883185,19.757789325547648,17.52650835459978,24.31998606710117,18.0202859520149
SOUTH LAWNDALE,84.7442568588632,54.057411975916864,26.903010550079784,19.178252254099743,35.35312215529362,18.43678493293457,19.858044495859197,17.417133380529815,24.41755038423641,17.847702673402832
AVALON PARK,82.10197554902236,56.22131738313921,26.361646743760804,19.76459009202865,36.65335338364534,19.576021241758863,19.73583293748049,17.6879498246097,24.167282943317257,18.23928183896744
NEAR NORTH SIDE,83.49327223195577,70.41634671231535,23.77840332680562,20.167095680049552,27.15325327372202,20.42910758110586,19.5480356107172,18.16916628555072,23.16105077153532,18.705878070450428
JEFFERSON PARK,90.2306137084961,57.5766410827637,26.6144958496094,17.5305419921875,31.64150390625,15.6697326660156,20.247537612915,16.39404296875,24.6732482910156,16.5563888549805
CLEARING,87.489263851027,53.14787110376905,27.48113969262977,18.44013292233079,34.413204070584584,17.5003098766256,20.24973852399609,17.009826457066787,24.84686789897655,17.329349179339793
FULLER PARK,81.3278427124023,56.4078063964844,26.2231689453125,19.9565063476563,36.3868957519531,19.6456848144531,19.615743637085,17.7623977661133,23.9464817047119,18.3501567840576
LOGAN SQUARE,82.49468152063976,56.9129216887196,26.12275987708049,19.763253291349272,35.21907741001676,19.550795826408454,19.574497019726326,17.71399162067392,24.00388221326081,18.251804373131037
