Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NORWOOD PARK,99.12945761555574,96.9842682129926,33.2796461459359,31.35960430743457,37.453837166518944,35.5443909162115,25.439523919505135,24.531912757069403,29.769090794658908,28.519089190328675
ROSELAND,98.55698644686508,95.83858949332894,33.71523857942084,31.869074473197102,37.90765227266674,35.857656459862206,25.351393002557614,24.531084636641584,29.782088390791785,28.57584099756134
SOUTH DEERING,95.39012954745316,92.3046695908453,34.361971701370805,32.64768459940808,43.39521725830661,41.125282043915085,24.993931732448125,24.234103398962777,29.641334520966502,28.45177792980883
ASHBURN,98.5625618266816,95.70265911245224,33.69995065910583,31.875137496710337,38.62971474423583,36.81094747130088,25.32532553598441,24.516468611822205,29.88029574127236,28.547364424904583
AUBURN GRESHAM,98.5224548805189,95.83386553713552,33.69321860279651,31.825064961763392,37.90926647600553,35.897067285257975,25.357288509279236,24.53808390360012,29.79938764994929,28.579273861456887
BRIDGEPORT,95.4473731994629,92.7319297790527,34.4597503662109,32.6366363525391,43.5443237304688,40.8251434326172,24.82421875,24.0625,29.6124946594238,28.3306369781494
AVONDALE,95.88881214126596,92.70630933978366,34.53680462447806,32.40592789750724,43.79187554272842,41.018631078174366,24.798887243004,24.118102992486445,29.53731080779068,28.152362993415725
ARCHER HEIGHTS,97.51411170404138,94.1147688687315,34.07949240279764,32.22779058988258,41.318751469491424,39.486167152464645,25.1436563899776,24.41412811450168,29.758376183675384,28.48546890288689
MOUNT GREENWOOD,98.7154784163626,95.93328981740854,33.64504712042558,31.824615780479043,38.24439720137743,36.431234898617454,25.3520546875,24.531768092105263,29.89853269026908,28.55641191703395
HYDE PARK,95.5373713351163,92.73622101523658,34.42275685813209,32.556521301269555,43.44651906516338,40.7754597056996,24.868877840909093,24.09595170454546,29.63451954373444,28.36796616987747
LOOP,95.8952278137207,93.0719032287598,34.7023132324219,32.5365310668946,43.5883758544922,40.7675415039063,24.765625,24.0478515625,29.6635665893555,28.2735910415649
