Community,WRF_RH2_max,WRF_RH2_min,WRF_T2_max,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
NORWOOD PARK,79.92652156408157,46.794765701882376,27.821853818133448,20.282862316612157,36.23582305515952,18.3128140250944,19.609935950742603,17.904568503019437,24.583328107819177,18.729459299710246
ROSELAND,79.61763928324578,48.32618687989456,27.783779790955435,20.454017808542808,35.94188969092675,18.54076610575949,20.00245344425753,18.047576745052144,24.79136754248571,18.86685544145859
SOUTH DEERING,79.57739625165496,49.40885368338418,27.56656889822517,20.482141797246573,35.92718558158863,18.53836495844749,20.021354596756236,18.06930693478576,24.687313268918544,18.88386286812383
ASHBURN,79.11151880127125,46.17128307741133,28.39954974463241,20.480031849357594,36.48722379212605,18.551493470758125,19.9244492836877,18.010226658729465,25.0133175285078,18.84875172505636
AUBURN GRESHAM,79.34892729214707,47.49449839048602,28.0136697394051,20.47599353285215,36.059318279617095,18.52497500845521,19.945864330973848,18.02858037758501,24.83620988538813,18.862981417745864
BRIDGEPORT,80.02141933605586,50.37951764156079,27.22396559221989,20.48248756014065,35.78342360134787,18.45310991879171,19.78356431475998,18.11561833167898,24.399830916832236,18.928733342680477
AVONDALE,79.863037109375,48.7159042358398,27.4705444335938,20.4302612304688,36.1453491210938,18.3990112304688,19.66064453125,18.0330753326416,24.4926738739014,18.8677616119385
ARCHER HEIGHTS,79.1760025024414,47.4979820251465,27.9233642578125,20.5520263671875,36.0349975585938,18.5613037109375,19.7886600494385,18.050271987915,24.6322822570801,18.912748336792
MOUNT GREENWOOD,79.1919345895868,46.39915555452046,28.35049656918176,20.48007793225741,36.28950555098684,18.564365748355268,19.95779901203355,18.01750794661674,24.97640982778448,18.85460735120274
HYDE PARK,80.81980280095877,53.46727268565783,26.54560846502129,20.403626487038373,35.197343971946026,18.454871937144866,19.88187345331368,18.128112043900927,24.20423212918369,18.925112048062413
LOOP,81.5198745727539,56.5138511657715,25.9532104492188,20.3498779296875,34.5736328125,18.4951721191406,19.7877044677734,18.1649112701416,23.9567337036133,18.9294109344482
PULLMAN,79.70604836484216,49.90168264470204,27.412780161106877,20.473224558728813,35.937176432508124,18.51583774647816,20.032610701500083,18.076133612368977,24.64442030216781,18.88655358984119
KENWOOD,80.9244232177734,53.6593551635742,26.4856506347656,20.3915954589844,35.165673828125,18.4417053222656,19.8558502197266,18.1282901763916,24.1611957550049,18.9232406616211
WOODLAWN,80.15699661571924,51.85860042948004,26.95626648306908,20.47044507668382,35.50021805516827,18.499867517616607,19.95452719186933,18.115346568152848,24.42562601905461,18.927507660651862
LINCOLN SQUARE,81.04363587403212,53.91811916242711,26.267615652932864,20.32959643326625,34.57141664986934,18.428067684513,19.64602658417723,18.088915995431567,23.994363235833383,18.87025362401672
NORTH PARK,80.43071817805111,49.94298132639084,27.057243742766182,20.298950685100777,35.87320538879076,18.25441877038813,19.6338139446534,17.989806557879074,24.30913998504589,18.79703791263456
WEST ENGLEWOOD,79.35033821111473,48.94115618045831,27.592342162115,20.53270176730978,36.09408484160344,18.48993284897105,19.878304233950946,18.078771051253803,24.64154429032334,18.913403191087248
RIVERDALE,79.26663749726852,47.05189018385008,28.21763378385961,20.4426444891541,36.10107589982814,18.58592294182438,19.98600605160027,18.002328457584476,24.929124390574746,18.8290469847381
WEST LAWN,78.99066159205148,46.76669720873706,28.237969064585457,20.536180448731763,36.292332000209626,18.56938174987958,19.81742245877788,18.041232944397,24.943173919288533,18.888429745549583
IRVING PARK,79.863037109375,48.7159042358398,27.4705444335938,20.4302612304688,36.1453491210938,18.3990112304688,19.66064453125,18.0330753326416,24.4926738739014,18.8677616119385
AUSTIN,79.68291886527128,48.154423731144014,27.61054297071519,20.452442683595603,36.18247158262469,18.420723976751777,19.67007773663058,18.03609004375911,24.534755393411192,18.869332052240505
BURNSIDE,79.72673754985104,50.33497773069247,27.312299538724304,20.479243477762747,35.93712887897175,18.50919383810888,20.040975453467325,18.08414383573905,24.603810006679744,18.89224642748278
EAST SIDE,80.47010573532866,58.586518317957,25.97180408010327,20.585347314970218,31.27610480096445,19.54141703041529,20.014901467062156,18.25946682339898,24.14479368212724,19.00670210568521
WEST RIDGE,81.52177529769605,54.97529452638794,25.940408156776048,20.257929246337685,34.675987133457994,18.313327947380195,19.61459154557894,18.07985053097028,23.83331578644769,18.851520903439063
MONTCLARE,79.1600494384766,44.9356002807617,28.4108520507813,20.4163757324219,36.4695068359375,18.3525329589844,19.632303237915,17.9263973236084,24.8558864593506,18.788782119751
LOWER WEST SIDE,79.85193634033202,49.69374819528178,27.367163679237496,20.49769853780972,35.91810645166599,18.449062663040763,19.781747411413274,18.11037219442082,24.449398973642328,18.9287707339381
WEST ELSDON,79.1282960356294,47.310834776033296,28.00397261429977,20.54801475380089,36.10086793699468,18.563395704637166,19.795936485389618,18.047982645558744,24.71203021260052,18.906544831130173
