HOLC_grade,WRF_RH2_max,WRF_RH2_min,WRF_T2_max,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min,MODIS_TSK_Day,MODIS_TSK_Night
A,82.372462786161,56.309428985302254,25.32638633923657,19.5769451434796,34.29829011574771,17.91424224071014,19.098378150891055,17.527799685796143,23.48640657082584,18.250089975503816,27.06846353020971,17.226600338353
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,29.870290846504677,18.2186190669178
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,26.726101380556127,17.318227856267335
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,26.547212669353023,18.443123019791376
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,28.936285301348807,18.208586081762427
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,26.676666666666733,17.761666666666713
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,29.313255133850223,18.48474715444099
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,26.944741253476344,18.370995236280688
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,30.511119107609915,18.2906811772818
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,30.093423004085924,18.546814256749144
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,30.774658767256778,18.701540987173573
A,81.8960876464844,54.8284454345703,25.6669250488281,19.6329284667969,34.3988586425781,17.8918701171875,19.1559104919434,17.513692855835,23.5528602600098,18.273717880249,28.21864359889023,16.71625342845812
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,27.221105617865785,17.954511679378072
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,32.291451086480755,18.789336251088844
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,31.194007227543548,18.7357115156352
A,81.301887512207,56.9380264282227,25.3846069335938,20.1235290527344,33.9005981445313,18.2324768066406,19.3711795806885,17.90283203125,23.5419464111328,18.6691093444824,28.875990092319327,18.24855844897357
A,81.21980436083295,56.18771039935907,25.551701419454258,20.111547679632498,34.076385841906934,18.17028112277176,19.39573535113269,17.884218592039296,23.63630106751347,18.661197205664408,26.633262854036243,18.022423364474214
A,81.0687713623047,54.80712890625,25.8591552734375,20.089501953125,34.3998352050781,18.0558410644531,19.44091796875,17.8499698638916,23.8099136352539,18.6466388702393,33.42737851035002,18.894691951119917
A,81.13353399796921,55.64047674699262,25.7232962174849,20.102235065806997,33.933410436456825,18.145117464932504,19.434643160213124,17.86951078068126,23.75340355526316,18.657742565328466,26.785590069560875,18.12345097654397
A,79.2258911132812,47.7031021118164,27.7614685058594,20.3745971679688,35.9705139160156,18.3291870117188,19.6698799133301,17.9060173034668,24.5295734405518,18.7465763092041,36.68488163864777,19.068227411964504
A,79.40500770549912,48.424789769477925,27.55145266700917,20.34338972598096,35.83840138929948,18.29220561365932,19.63599980735307,17.895973039915788,24.43217981778661,18.73412357548034,35.881452312244,18.920836255982536
A,79.46176556843079,49.460175211836656,27.268557515958484,20.402987447599088,35.616680461604425,18.28245045731708,19.58536766796574,17.96084385383424,24.317087219982653,18.804077148437475,35.305474349817246,19.212379819175293
A,79.8615951538086,49.8838500976562,26.8568054199219,20.0386291503906,35.6795593261719,17.9982543945313,19.3020763397217,17.6611328125,24.077054977417,18.4874954223633,31.32995532084918,17.960250398225543
A,83.0783157348633,78.3035125732422,22.2373901367188,20.5679870605469,20.917626953125,20.8751770019531,19.4504718780518,18.4814453125,22.330005645752,19.0950222015381,31.234365245651272,18.139577606436493
A,79.1431732177734,46.0082588195801,28.1903930664063,20.3650756835938,36.1663757324219,18.3243957519531,19.5963191986084,17.8897762298584,24.6932220458984,18.740686416626,36.091545119708506,19.684215417207792
A,79.1431732177734,46.0082588195801,28.1903930664063,20.3650756835938,36.1663757324219,18.3243957519531,19.5963191986084,17.8897762298584,24.6932220458984,18.740686416626,36.316898021786834,19.78470606307011
A,79.11662578582761,46.143931388855,28.1783081054688,20.39247283935551,36.25055160522464,18.363177490234357,19.61982049942017,17.9128475189209,24.733978748321498,18.765838241577185,35.45592925945338,19.84335349212717
