Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NORWOOD PARK,99.07946814392402,96.85785564285317,33.284075918320234,31.23585216257442,37.579927612932295,35.236787451815175,25.54725959993573,24.51752791613111,29.8329094788225,28.452243417578067
ROSELAND,95.94744887580768,92.66399409741808,34.13901541737712,32.34698959738157,42.31977711746633,40.11689208955666,25.084142388875826,24.20170149708961,29.720224700956493,28.34523151062174
SOUTH DEERING,96.14393062855989,93.02787185771533,34.1051571322198,32.26461462304997,41.61573524152994,39.41261857890812,25.125396610809958,24.24277060747419,29.75626848006689,28.36882618496818
ASHBURN,97.96225515751335,95.1821808023788,33.69368436057434,31.91164591795684,38.96281890691596,37.28062144477671,25.287587315641726,24.496672596797183,29.878372279649465,28.58349584695321
AUBURN GRESHAM,97.32832594953526,94.56305489998354,33.78317842946033,31.978943404992528,39.45706648368346,37.53734881949547,25.23642342773728,24.405888401656878,29.79851874431236,28.437737960327347
BRIDGEPORT,94.68789004868474,92.03310575978512,34.4305423045981,32.46135610218704,43.57542493096712,41.1504553564664,24.87056337553879,23.99658203125,29.650803475544336,28.253829080483005
AVONDALE,95.2157150268555,92.342622756958,34.3564483642579,32.2010055541992,43.7364959716797,41.2854858398438,24.8828125,24.0625,29.6534629821777,28.3018102645874
ARCHER HEIGHTS,97.2417770385742,94.732982635498,33.9621459960937,32.1816345214844,39.4916748046875,37.8691268920899,25.234375,24.296875,29.844006729126,28.4035139083862
MOUNT GREENWOOD,98.6365234375,96.0888824462891,33.68955078125,31.9525848388672,38.9349731445313,37.3294845581055,25.3515625,24.53125,29.8612663269043,28.5596647262573
HYDE PARK,94.695978984486,92.01808627735488,34.28933269708812,32.36286582253202,43.55948747114706,41.184430098100165,24.894744318181814,24.050568181818186,29.672187346024927,28.38579847162421
LOOP,95.695475769043,92.960578918457,34.5818298339844,32.5792785644531,43.1885528564453,40.9006286621094,24.82421875,23.87939453125,29.6837188720703,28.0673561096191
PULLMAN,95.3788726210087,91.95803373823767,34.290868056277,32.48042314407673,43.57932358924378,41.20763600937863,24.99211477726064,24.105128511469417,29.686156443737968,28.297979063176133
KENWOOD,94.684871673584,92.0072536468506,34.2621704101563,32.3730560302735,43.5253326416016,41.3214813232422,24.8828125,24.0625,29.6734050750732,28.4087619781494
WOODLAWN,94.7217192201203,92.04318996484314,34.352278955832546,32.33925089442359,43.63863834468497,40.86682569679582,24.92239527836974,24.02291722163026,29.669365363916206,28.332582524563342
LINCOLN SQUARE,96.09345619262746,93.1601497804567,34.388723961229466,32.18716191940037,43.22848049313151,40.88429413520571,24.727030798209515,23.79757701290035,29.50718598179122,28.01369580043172
NORTH PARK,95.77779198601137,92.88095909619877,34.30844783076533,32.082609800981274,43.2584685633422,41.17494471312837,24.860907014715607,23.94779265873016,29.566081283878848,28.21419476159249
WEST ENGLEWOOD,94.7124550262915,91.97962054254695,34.26743969700088,32.38384070075781,43.52165422087899,41.33911447587087,24.88993653402929,24.06910927331888,29.677186884849007,28.40165723482077
RIVERDALE,95.60562039955155,92.093276221251,34.2435815088742,32.47944525674655,43.36321650090277,41.12224187016447,25.01680053277366,24.138348351226995,29.698465674440104,28.306787728878437
WEST LAWN,98.2433830261231,95.4979076385498,33.640219116211,31.8622299194336,38.5439819335938,36.8941207885742,25.3193359375,24.53125,29.8942325592041,28.6047191619873
IRVING PARK,95.2157150268555,92.342622756958,34.3564483642579,32.2010055541992,43.7364959716797,41.2854858398438,24.8828125,24.0625,29.6534629821777,28.3018102645874
AUSTIN,96.40715699870177,93.66980391469866,34.063211475237495,32.0701965096021,40.89231372024079,38.89185711012949,25.114612463748824,24.22349294026693,29.770454086498752,28.37845853979542
