Community,WRF_RH2_98,WRF_RH2_95,WRF_T2_98,WRF_T2_95,WRF_TSK_98,WRF_TSK_95,WRF_TW2_98,WRF_TW2_95,WRF_WBGT_98,WRF_WBGT_95
NORWOOD PARK,93.77457614496612,91.01217402872513,35.967515784413166,34.507962016520004,43.31348285743704,40.5701020032397,24.99514530446658,24.00390625,29.80466729014574,28.57900317714269
ROSELAND,93.54072140059375,90.65879890768456,35.38092137908226,34.110698008066315,42.92283697693508,40.68549282759401,25.008598894637817,24.208333256776225,29.847240382326397,28.75579227284232
SOUTH DEERING,93.722920832201,90.97645321645882,35.03863873258571,33.79057051357309,42.146262153395725,39.9198124187576,24.890146949598652,24.14171425453454,29.68140175277692,28.490543137821454
ASHBURN,93.7315046325073,90.77714704141135,35.47522763613355,33.99202847479666,43.27373875331014,40.6868495810662,25.02926278508261,24.172174082208528,29.84013253217081,28.59695759068148
AUBURN GRESHAM,93.92460357770436,91.00485652445752,35.54403478321098,33.97661661217875,43.308873699066766,40.58178103763913,24.94622223436105,24.10397630332304,29.843256003173508,28.535740422762665
BRIDGEPORT,94.5501853762002,91.30374362139868,35.67358477033423,34.08562469975706,43.31617570087831,40.40143468133336,24.688105089911097,24.033076845366374,29.816292133002477,28.5393682790214
AVONDALE,94.55351457230914,91.64788290271076,35.746910852489975,34.12767167453564,42.673036923236936,39.85021828956975,24.806792881746155,23.859312535693896,29.653392884773485,28.388081138301505
ARCHER HEIGHTS,93.9266464233399,90.6973743438721,35.6996459960938,34.1962982177735,43.4214660644532,40.682015991211,25.05859375,24.1796875,29.8419479370117,28.7237539291382
MOUNT GREENWOOD,93.34328442704054,90.12100964997948,35.28350675755557,34.083030472604854,43.29192541246915,40.97762460166529,25.11822368421053,24.23828125,29.90619670538653,28.72453822326664
HYDE PARK,94.7143836975098,91.31858253479,35.7211914062501,34.0791946411133,43.2213775634766,40.4529129028321,24.7041015625,24.00390625,29.8628955841064,28.5068349838257
LOOP,99.2061325073242,96.9698848724365,29.0061248779297,27.4937301635742,23.8243041992188,23.5067687988281,22.83203125,22.59765625,26.2604515075684,25.5843152999878
PULLMAN,93.55072656387976,90.72960410118098,35.31111107197221,34.06601046704233,42.88635321272185,40.62955304409594,25.00157392785904,24.197853900016614,29.8272520377788,28.706664068648205
KENWOOD,94.7143836975098,91.31858253479,35.7211914062501,34.0791946411133,43.2213775634766,40.4529129028321,24.7041015625,24.00390625,29.8628955841064,28.5068349838257
WOODLAWN,94.71851381109826,91.3237518438584,35.713888232760155,34.072393952472844,43.20168527756596,40.43605457482728,24.70266871586973,24.0029073155301,29.8596361161294,28.504333084037366
LINCOLN SQUARE,94.3570198374711,91.33218672182214,35.75538496784468,34.20051910223912,42.83390537004029,40.0463054141116,24.89199514151468,23.86896859708629,29.67293150094053,28.439290079782037
NORTH PARK,94.08916754613269,90.90852200291144,35.795150778365105,34.334618027164,43.08691007826065,40.35298423699814,24.99418971147487,23.887700479497354,29.71352129234835,28.524423431467145
WEST ENGLEWOOD,94.60114111414188,91.27042456355888,35.69502747508822,34.0630622119035,43.23797203610108,40.473019865950455,24.737535588394792,24.018268709327547,29.85869772904862,28.50937381587165
RIVERDALE,92.84403337670182,90.333139276058,35.08332327971122,33.93820768953104,42.860520127530265,40.75000773384605,25.05859375,24.23828125,29.83171498819361,28.618939479474417
