Community,WRF_RH2_Day,WRF_RH2_Night,WRF_T2_Day,WRF_T2_Night,WRF_TSK_Day,WRF_TSK_Night,WRF_TW2_Day,WRF_TW2_Night,WRF_WBGT_Day,WRF_WBGT_Night
NORWOOD PARK,47.19370871595363,69.87519280205656,27.84228952599063,22.96070754338052,36.4686288475684,20.196867609882084,19.172756904562828,18.65834294248056,24.669318006461584,20.00122870271187
ROSELAND,49.5035667419434,71.7593040466309,27.5947052001953,22.8713165283203,36.1847778320313,20.3207794189453,19.44970703125,18.9777345657349,24.7120876312256,20.132438659668
SOUTH DEERING,50.36631257176384,71.85989332840309,27.394827683431995,22.94497928927565,36.00393623440332,20.348436081487744,19.406296319662307,19.02421038080951,24.607329875004,20.204772186418477
ASHBURN,47.26825482761522,69.75447044878587,28.10294684609178,23.152136881728207,36.66552147105152,20.42926574806458,19.531471016297704,18.95349700422597,24.89157752511336,20.18270370065264
AUBURN GRESHAM,49.75204379130817,71.86452904303705,27.528966700410024,22.859728320189,36.145293057188354,20.299252127749824,19.421950077804844,18.95990860742392,24.676257823840817,20.12965047604201
BRIDGEPORT,55.4849376678467,74.2774887084961,26.1630950927735,22.5039459228516,35.0210205078125,19.9805236816406,19.02490234375,18.74365234375,24.0979261398315,20.0226964950562
AVONDALE,49.3607025146484,71.6125602722168,27.348046875,22.8247161865235,36.2812133789063,20.137353515625,19.11572265625,18.6786136627197,24.5138216018677,20.0458278656006
ARCHER HEIGHTS,47.66725161681646,69.76542092864746,27.97126280986453,23.15875243798885,36.58705417338307,20.375871763838084,19.472630304291727,18.91344003688047,24.85674167133262,20.18992786898728
MOUNT GREENWOOD,47.43532464760228,69.5768361912778,28.152149677477432,23.172627319335987,36.413557854903374,20.50145093415915,19.674049543280397,19.01668366843776,24.94494525708649,20.195920801263107
HYDE PARK,54.7074494726008,74.02654453624379,26.34122386585588,22.54730024857957,35.18297729492187,20.014448297674,19.069677599126653,18.769256789467555,24.16507855155249,20.03909038890496
LOOP,80.7181053161621,79.3696937561035,21.1093994140625,21.2360931396485,19.2289367675781,19.2289367675781,17.1085929870605,17.4745121002197,21.8790702819824,19.1977376937866
PULLMAN,49.5035667419434,71.7593040466309,27.5947052001953,22.8713165283203,36.1847778320313,20.3207794189453,19.44970703125,18.9777345657349,24.7120876312256,20.132438659668
KENWOOD,55.4849376678467,74.2774887084961,26.1630950927735,22.5039459228516,35.0210205078125,19.9805236816406,19.02490234375,18.74365234375,24.0979261398315,20.0226964950562
WOODLAWN,52.00890748578311,73.15329191058508,26.960974912892404,22.698598295281883,35.73586167267932,20.134811752555123,19.22596978150474,18.858934254613317,24.39894538670066,20.096355091718912
LINCOLN SQUARE,51.42474259939905,72.4474413369474,26.85417744646716,22.641686550153956,35.361126066866326,20.075900738264725,18.883354915418668,18.55681579180885,24.26410268803932,19.95009430277817
NORTH PARK,49.98229187338019,72.14913596467784,27.07010126399825,22.653915316465657,36.043257185517184,20.00524178964118,18.877034814269464,18.53942515400145,24.31275999567073,19.94281825901553
WEST ENGLEWOOD,51.73465664353999,72.8166814253801,27.029117507548435,22.73883524775417,35.793451854515475,20.15540206478891,19.244581286319367,18.85855955639701,24.43294269247326,20.100328425092293
RIVERDALE,49.16920051045059,71.01222009138408,27.68614217076413,23.09272568640806,36.14107551710198,20.414746786480297,19.50001332988501,19.05356729542553,24.73689967122509,20.25380936876048
WEST LAWN,47.2609481811523,69.747917175293,28.1046081542969,23.1530548095703,36.6670928955078,20.4296203613281,19.53173828125,18.9534177780151,24.8921642303467,20.1828680038452
