Community,WRF_RH2_max,WRF_RH2_min,WRF_T2_max,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
NORWOOD PARK,79.14789364969208,45.96596102187444,28.0302687304186,20.35103977860401,36.3395042988206,18.33119324044272,19.49574081646446,17.882238330203652,24.6341839606474,18.723507940493413
ROSELAND,79.2378158569336,48.8239936828613,27.7513366699219,20.5503173828125,35.9175964355469,18.7007385253906,19.9704914093018,18.0948543548584,24.776424407959,18.9310417175293
SOUTH DEERING,79.14311845362474,49.3052785593663,27.658572623424764,20.61172208393329,35.83950072198745,18.7392097675948,19.99195835272986,18.117227837053456,24.672422894792284,18.974716348766368
ASHBURN,79.15920072559538,47.18321612515449,28.088838520720323,20.53377515807496,36.35585127154256,18.627202781089554,19.868164007902887,18.05257360863638,24.807799684410465,18.903769775632107
AUBURN GRESHAM,79.25873325510202,49.14763616955162,27.668191932376345,20.55384184074913,35.912511940081906,18.671470960340685,19.954440298196825,18.09905321858391,24.72726782288306,18.93583154720907
BRIDGEPORT,79.57001632657544,50.63675940036775,27.203445118871272,20.54162493738639,35.76306669958704,18.475692630636328,19.784892110989016,18.10547911709756,24.424198072532157,18.94936775750125
AVONDALE,79.4301147460938,48.8749580383301,27.4822937011719,20.4583984375,36.1353088378906,18.4095092773438,19.6214752197266,18.02734375,24.4725513458252,18.8623561859131
ARCHER HEIGHTS,78.97828450475261,47.011163299321325,28.1149301014182,20.563266097151025,36.82372064024445,18.593057575631622,19.81182395917975,18.034057303211814,24.920998093796182,18.9157620736493
MOUNT GREENWOOD,79.1034138633327,45.93793925717001,28.40815668688323,20.511026688425225,36.5003089663857,18.613468300267247,19.911431316978096,18.03739181357939,24.882712708322615,18.880829282258716
HYDE PARK,80.49364587402346,55.95885337413438,26.17593288352273,20.53277461381395,34.76176020951705,18.721326060901973,19.88971610884232,18.22867666764693,24.13026794849745,19.00913491127708
