Community,WRF_RH2_max,WRF_RH2_min,WRF_T2_max,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
NORWOOD PARK,90.05579244814679,58.761995559731645,26.31729863419326,17.448061937660672,30.916599977782617,15.652942098504804,20.22020571691517,16.3338565826416,24.47727785576277,16.484555047827115
ROSELAND,86.2299346923828,57.6833381652832,26.561181640625,18.6223083496094,32.1746154785156,17.0459838867188,20.2325706481934,17.060546875,24.5830059051514,17.3210926055908
SOUTH DEERING,84.71838470287194,56.059567099055926,26.67926630588589,18.966264045021028,33.927383785194124,17.870688312538096,20.0356663411941,17.207591566715887,24.48002901696618,17.577768678326144
ASHBURN,86.90056350526908,55.58180109955751,26.92289634528816,18.49064525509261,32.55440631215733,17.15440068305972,20.20293925566977,17.02090529916119,24.653383230147693,17.27010601177753
AUBURN GRESHAM,86.4769408235377,55.89553002309528,26.8356905700266,18.58956592109224,32.68685071196669,17.210201053908833,20.169332098513937,17.0740141977834,24.62806181551556,17.339631217109826
BRIDGEPORT,80.6359634399414,56.8801307678223,26.0855041503906,19.9974609375,36.0428405761719,19.5707946777344,19.5924968719482,17.7254581451416,24.0067405700684,18.2608795166016
AVONDALE,82.02412153556652,54.62439312981175,26.40043797517489,19.575065465520836,36.49266254941377,19.319859124863957,19.54053085562436,17.491887470029706,23.995871257945392,17.999218627563653
ARCHER HEIGHTS,86.22263269541908,54.29563468941646,26.98817101763716,18.694793680667367,33.66262230953209,17.569164259890343,20.011202595402157,17.14458712484911,24.48794008876544,17.427929185139007
MOUNT GREENWOOD,87.2004837036133,55.37209988082083,27.03057416735196,18.34982035104856,33.01660647101153,17.118651354338045,20.313068344919294,16.909320397628004,24.817726768092083,17.148327500192746
HYDE PARK,80.2976160611239,58.31643534157493,25.885548517400547,20.118685014204544,36.17464335493614,19.641514093572493,19.627546947132466,17.803398777354847,23.960382178566675,18.319178035389317
LOOP,80.968391418457,59.0547409057617,25.683251953125,20.0319152832031,36.1072021484375,19.5336547851563,19.5539665222168,17.793924331665,23.8293914794922,18.3178577423096
PULLMAN,86.2299346923828,57.6833381652832,26.561181640625,18.6223083496094,32.1746154785156,17.0459838867188,20.2325706481934,17.060546875,24.5830059051514,17.3210926055908
KENWOOD,80.21553937078913,58.22842927338846,25.88911623817952,20.13595171775372,36.23279255493039,19.680047931731995,19.616071761857945,17.810159626473276,23.95353904261979,18.331632097266574
WOODLAWN,82.19802172360548,58.13822625454397,26.067336858912974,19.657252082154034,34.96116261144366,18.85784820410316,19.79180939602738,17.58518764168643,24.141181664322044,18.02224546807464
LINCOLN SQUARE,82.48378787261314,55.06216359053646,26.32120599984273,19.514671331113774,35.89129039180664,19.34784875510005,19.53855354505926,17.482853718075486,23.94878978915913,17.98168169052147
NORTH PARK,82.87175875534247,52.7148711559424,26.74744218022312,19.344961033843,36.82401107976471,19.181269225536017,19.561997718911957,17.368657242473912,24.083837684079704,17.859325685618792
